screen,id,type,x,y,width,height,font_px,initial_text
0,1,text,80,98,320,64,52,SafeStride
1,1,text_display,20,70,204,38,32,-- km/h
1,2,text_display,20,115,204,20,16,Grip: unavailable
1,3,text_display,20,174,204,28,24,? UNAVAILABLE
1,4,text_display,20,206,204,20,14,Waiting for link
1,5,text_display,245,71,224,28,20,Crosswalk N/A
1,6,text_display,245,98,219,20,14,No signal data
1,7,text_display,245,171,220,28,24,Slope N/A
1,8,text_display,245,202,219,20,18,--
1,9,text_display,20,242,203,20,14,Waiting for link
1,10,text_display,245,117,219,18,14,Location: N/A
1,11,button,380,7,84,27,14,DEV
1,12,text,20,9,200,27,24,SafeStride
1,13,text,20,50,204,18,14,CURRENT SPEED
1,14,text,20,152,204,18,14,DRIVE STATUS
1,15,text,245,50,204,18,14,ROAD STATUS
1,16,text,245,149,204,18,14,SLOPE INFO
1,23,text_display,245,234,218,27,24,Surface: N/A
